Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"VL Aguilar, G Heider, R Curtoni, M Borgo…",Late Holocene plant use in the Sierras Pampeanas of Argentina: Evidence from phytoliths and starch grains,2018,Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2352409X17308222,https://scholar.google.com/scholar?cites=12302741347564811824&as_sdt=2005&sciodt=2007&hl=en,25,9/15/21 12:16,,10.1016/j.jasrep.2018.08.025,,,,,,,5,"1,67",1,5,3,"… Share. Export. Advanced. Elsevier. Journal of Archaeological Science: Reports. Volume 21, October 2018, Pages 413-421. Journal of Archaeological Science: Reports. Late Holocene plant use in the Sierras Pampeanas of Argentina: Evidence from phytoliths and starch grains …",https://www.academia.edu/download/65512375/Lalinde_et_al_2018_JAR.pdf,https://scholar.google.com/scholar?q=related:MHYcqRIevKoJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
4,FJ Astudillo,"Soil phytoliths as indicators of initial human impact on San Cristóbal Island, Galápagos",2018,"Palaeogeography, palaeoclimatology, palaeoecology",Elsevier,https://www.sciencedirect.com/science/article/pii/S0031018217300615,https://scholar.google.com/scholar?cites=5650876636105581670&as_sdt=2005&sciodt=2007&hl=en,26,9/15/21 12:16,,10.1016/j.palaeo.2017.11.038,,,,,,,4,"1,33",4,1,3,… Abstract. I analyzed phytoliths from soil profiles on San Cristóbal Island in the Galápagos Islands to determine whether historical human impact and recent vegetation dynamics are visible in the phytolith record. I extracted phytoliths …,https://www.academia.edu/download/55283296/Astudillo_2018_Soil_phytoliths_as_indicators_of_initial_human_impact_on_San_Cristobal_Island.pdf,https://scholar.google.com/scholar?q=related:ZqSgZFzya04J:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
2,"DR Piperno, C McMichael",Phytoliths in modern plants from Amazonia and the Neotropics at large: Implications for vegetation history reconstruction,2020,Quaternary International,Elsevier,https://www.sciencedirect.com/science/article/pii/S1040618220306698,https://scholar.google.com/scholar?cites=1435897169718353868&as_sdt=2005&sciodt=2007&hl=en,28,9/15/21 12:16,,10.1016/j.quaint.2020.10.043,,,,,,,2,2,1,2,1,"… Tropical forests are not made of trees alone; there are numerous lianas, vines, shrubs, sub-shrubs, and eudicotyledonous herbs, whose phytolith attributes are little studied. To provide the most in-depth appraisal of phytoliths as repositories of vegetational history, we studied the …",,https://scholar.google.com/scholar?q=related:zB8NP95U7RMJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
3,"NI Patterer, AF Zucol, MGF Pepi, M Brea","Plant and soil phytolith analysis of a relictual community of Butia yatay in temperate-humid savannas (Entre Ríos, Argentina)",2019,Quaternary International,Elsevier,https://www.sciencedirect.com/science/article/pii/S1040618218305706,https://scholar.google.com/scholar?cites=12304723066528072058&as_sdt=2005&sciodt=2007&hl=en,31,9/15/21 12:16,,10.1016/j.quaint.2019.07.019,,,,,,,3,"1,5",1,4,2,"… recognized as a plant group of tropical and sub-tropical ecosystems, in South America they can … in warm and humid climates, it is important to know what phytolith contribution these … This modern analogue study assessed the variability of silica phytoliths in 15 selected species of …",https://www.researchgate.net/profile/Alejandro-Zucol/publication/334406129_Plant_and_soil_phytolith_analysis_of_a_relictual_community_of_Butia_yatay_in_temperate-humid_savannas_Entre_Rios_Argentina/links/5d891e6c458515cbd1be1c26/Plant-and-soil-phytolith-analysis-of-a-relictual-community-of-Butia-yatay-in-temperate-humid-savannas-Entre-Rios-Argentina.pdf,https://scholar.google.com/scholar?q=related:egH2j28ow6oJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
12,"GG Rasbold, MM McGlue, JC Stevaux, M Parolin…",Sponge spicule and phytolith evidence for Late Quaternary environmental changes in the tropical Pantanal wetlands of western Brazil,2019,Palaeogeography …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0031018218307880,https://scholar.google.com/scholar?cites=10813252885567344349&as_sdt=2005&sciodt=2007&hl=en,34,9/15/21 12:16,,10.1016/j.palaeo.2019.01.015,,,,,,,12,6,2,5,2,"… Sponge spicule and phytolith evidence for Late Quaternary environmental changes in the tropical Pantanal wetlands of western Brazil … Show more Share. Cite … Highlights. • We perform phytoliths, sponge spicules, organic carbon, and 14 C dating. • …",https://www.alice.cnptia.embrapa.br/bitstream/doc/1112334/1/Spongespiculeandphytolith2019.pdf,https://scholar.google.com/scholar?q=related:3Y61VjVkEJYJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
7,"SDF Ricardo, HHG Coe, RR Dias, LOF de Sousa…","Reference collection of plant phytoliths from the Caatinga biome, Northeast Brazil",2018,Flora,Elsevier,https://www.sciencedirect.com/science/article/pii/S0367253018302834,https://scholar.google.com/scholar?cites=17834633593388413859&as_sdt=2005&sciodt=2007&hl=en,38,9/15/21 12:16,,10.1016/j.flora.2018.09.003,,,,,,,7,"2,33",1,5,3,"… Phytoliths can be classified by taxonomy or by their physical characteristics and are usually studied through analysis of their assemblages. After identifying phytolith morphotypes, the calculation of phytolyth indices helps to infer some important environmental parameters, such …",https://www.researchgate.net/profile/Sarah-Ricardo/publication/327662263_Reference_collection_of_plant_phytoliths_from_the_Caatinga_biome_Northeast_Brazil/links/5bb5248145851574f7f7e686/Reference-collection-of-plant-phytoliths-from-the-Caatinga-biome-Northeast-Brazil.pdf,https://scholar.google.com/scholar?q=related:ozMq4cJYgfcJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
3,"GG Rasbold, JC Stevaux, M Parolin, IT Leli…","Phytoliths indicate environmental changes correlated with facies analysis in a paleo island-lake, Upper Paraná River, Brazil",2020,… of South American Earth …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0895981120300262,https://scholar.google.com/scholar?cites=12941543063240851306&as_sdt=2005&sciodt=2007&hl=en,42,9/15/21 12:16,,10.1016/j.jsames.2020.102513,,,,,,,3,3,1,5,1,"Phytolith analysis has become a useful tool for paleoenvironmental studies. Phytoliths are produced by plants and are composed of biogenic silica, giving them higher resistance to diagenetic and oxidation processes that commonly occur in tropical sediments. Here, we …",,https://scholar.google.com/scholar?q=related:aj_kSdmYmbMJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
5,"LD Luz, M Parolin, LCR PESSENDA…","Multiproxy analysis (Phytoliths, stable isotopes, and c/n) as indicators of paleoenvironmental changes in a Cerrado site, Southern Brazil",2019,Revista Brasileira de …,researchgate.net,https://www.researchgate.net/profile/Leandro-Luz/publication/333087925_Multiproxy_analysis_phytoliths_stable_isotopes_and_CN_as_indicators_of_paleoenvironmental_changes_in_a_Cerrado_Site_Southern_Brazil/links/5cddbcd1a6fdccc9ddb54832/Multiproxy-analysis-phytoliths-stable-isotopes-and-C-N-as-indicators-of-paleoenvironmental-changes-in-a-Cerrado-Site-Southern-Brazil.pdf,https://scholar.google.com/scholar?cites=6910455738236965398&as_sdt=2005&sciodt=2007&hl=en,43,9/15/21 12:16,PDF,10.4072/rbp.2019.1.02,,,,,,,5,"2,5",1,4,2,"… during a dry/less humid climate occurred almost entirely on the South American continent in … Furthermore, the phytolith analysis can also be associated with stable carbon isotope analysis (Coe … The formation of phytoliths (SiO2.nH2O) starts when silica (Si) is absorbed by plants …",https://www.researchgate.net/profile/Leandro-Luz/publication/333087925_Multiproxy_analysis_phytoliths_stable_isotopes_and_CN_as_indicators_of_paleoenvironmental_changes_in_a_Cerrado_Site_Southern_Brazil/links/5cddbcd1a6fdccc9ddb54832/Multiproxy-analysis-phytoliths-stable-isotopes-and-C-N-as-indicators-of-paleoenvironmental-changes-in-a-Cerrado-Site-Southern-Brazil.pdf,https://scholar.google.com/scholar?q=related:FpKseeHe5l8J:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
7,"M Stevanato, GG Rasbold, M Parolin, LD Luz, E Lo…",New characteristics of the papillae phytolith morphotype recovered from eleven genera of cyperaceae,2019,Flora,Elsevier,https://www.sciencedirect.com/science/article/pii/S0367253018303712,https://scholar.google.com/scholar?cites=13969484737020494828&as_sdt=2005&sciodt=2007&hl=en,44,9/15/21 12:16,,10.1016/j.flora.2019.03.012,,,,,,,7,"3,5",1,6,2,"… Eds.), Synthesis of Some Phytolith Studies in South America (Brazil and Argentina), Nova Science Publishers, New York (2014), pp. 29-47. Google Scholar. Bremond et al., 2005 L. Bremond, A. Alexandre, O. Peyron, J. GuiotGrass water stress estimated from phytoliths in West …",,https://scholar.google.com/scholar?q=related:7ANZ1VqU3cEJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
4,"AIA Ramírez, GG Rasbold, M Parolin…",Phytoliths and seeds in fluvial island paleoenviroment reconstruction (interaction with pollen analysis),2019,Journal of South American …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0895981118303687,https://scholar.google.com/scholar?cites=13772733997671182638&as_sdt=2005&sciodt=2007&hl=en,45,9/15/21 12:16,,10.1016/j.jsames.2018.10.011,,,,,,,4,2,1,4,2,We tested the use of phytoliths and seeds as bioindicators in the paleoenvironmental reconstruction of fluvial islands and compared the results with those of facies and pollen analyses. The studied material was taken from a 215 cm core drilled in Mutum Island. The …,,https://scholar.google.com/scholar?q=related:LvEijZmUIr8J:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
