Timestamp,Data-collectors-name,Journal-name,Full-Reference-APA,Year (first published online),Period/Date (archaeology and palaeoecology or modern for other studies),Type-of-study,Geographic-location (use https://www.geonames.org/ for country name),oa_status,Journal-type,What-article-repository,Is it available in sign up repository?,Processing-method-communication,Counting-method-is-replicable,Instruments-used-described,Nomenclature-used,Have they used it fully?,Data-location,What-data-repository,Data-type ,Data-format,Data-availability-statement,Data-license,Pictures or photos included for identifications,Statistical-software-used,Other-comments,,,,,,
10/29/2021 3:36:54,Céline Kerfant,Quaternary International,"Calegari, M. R., Madella, M., Brustolin, L. T., Pessenda, L. C. R., Buso Jr, A. A., Francisquini, M. I., ... & Vidal-Torrado, P. (2017). Potential of soil phytoliths, organic matter and carbon isotopes for small-scale differentiation of tropical rainforest vegetation: a pilot study from the campos nativos of the Atlantic Forest in Espírito Santo State (Brazil). Quaternary international, 437, 156-164.",2016,Modern,Methodological - isotopes,Brazil,closed,Hybrid,None-not-oa,,One reference to specific protocol,Yes,Yes,ICPN 1.0,No,Data in text of article,None,Summary data - plant groupings,Table in the text of the article,None,Data not in repository,Only significant ones,None,Results are percentages of plant groups,,,,,,
10/29/2021 4:29:33,Céline Kerfant,Quaternary International,"Calegari, M. R., Paisani, S. D. L., Cecchet, F. A., de Lima Ewald, P. L., Osterrieth, M. L., Paisani, J. C., & Pontelli, M. E. (2017). Phytolith signature on the Araucarias Plateau–vegetation change evidence in Late Quaternary (South Brasil). Quaternary International, 434, 117-128.",2017,Late Quaternary,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,One reference to specific protocol,No,No,ICPN 1.0,No,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,Only significant ones,None,,,,,,,
11/3/2021 12:57:16,Céline Kerfant,Lethaia,"Cantil, L. F., Bellosi, E. S., Sánchez, M. V., González, M. G., & Genise, J. F. (2020). The earliest burst of necrophagous dung beetles in South America revealed by the Cenozoic record of Coprinisphaera. Lethaia, 53(3), 421-438.",2020,Miocene,Palaeoecology,Argentina,closed,Hybrid,None-not-oa,,One reference to specific protocol,Yes,Yes,ICPN 1.0,No,Data in text of article,None,Raw counts,Table in the text of the article,None,Data not in repository,Only significant ones,None,,,,,,,
11/3/2021 16:59:58,Javier Ruiz-Pérez,Flora,"Stevanato, M., Rasbold, G. G., Parolin, M., Luz, L. D., Lo, E., Weber, P., ... & Caxambu, M. G. (2019). New characteristics of the papillae phytolith morphotype recovered from eleven genera of cyperaceae. Flora, 253, 49-55",2019,Modern,Methodological - modern reference,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,No,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,All,None,,,,,,,
11/3/2021 17:14:14,Javier Ruiz-Pérez,Review of Palaeobotany and Palynology,"De Rito, M., Honaine, M. F., Osterrieth, M., & Morel, E. (2018). Silicophytoliths from a Pampean native tree community (Celtis ehrenbergiana community) and their representation in the soil assemblage. Review of Palaeobotany and Palynology, 257, 19-34",2018,Modern,Methodological - modern reference,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,None specified/not clear,Not used,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,Only significant ones,None,Statistical analyses carried out but software is not specified.,,,,,,
11/3/2021 17:41:43,Javier Ruiz-Pérez,Flora,"Ricardo, S. D. F., Coe, H. H. G., Dias, R. R., de Sousa, L. D. O. F., & Gomes, E. (2018). Reference collection of plant phytoliths from the Caatinga biome, Northeast Brazil. Flora, 249, 1-8",2018,Modern,Methodological - modern reference,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,Yes,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,All,Fitopac2,,,,,,,
11/3/2021 17:57:05,Javier Ruiz-Pérez,Journal of South American Earth Sciences,"Rasbold, G. G., Stevaux, J. C., Parolin, M., Leli, I. T., Luz, L. D., & Brito, H. D. (2020). Phytoliths indicate environmental changes correlated with facies analysis in a paleo island-lake, Upper Paraná River, Brazil. Journal of South American Earth Sciences, 99, 102513",2020,Pleistocene-Holocene,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,Yes,Data in supplementary file,None,Raw counts,.doc,None,Data not in repository,All,None,,,,,,,
11/8/2021 5:08:09,Céline Kerfant,Journal of South American Earth Sciences,"Chueng, K. F., Coe, H. H. G., Augustin, C. H. R. R., Macario, K. D., Ricardo, S. D. F., & Vasconcelos, A. M. C. (2019). Landscape paleodynamics in siliciclastic domains with the use of phytoliths, sponge spicules and carbon isotopes: The case of southern Espinhaço Mountain Range, Minas Gerais, Brazil. Journal of South American Earth Sciences, 95, 102232.",2019,Holocene,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,Yes,Data in text of article,None,Relative presence/percentages,Table in the text of the article,Data on request,Data not in repository,All,Fitopac2 version 2.1,"Paleoclimatology, geomorphology ",,,,,,
11/8/2021 5:44:52,Céline Kerfant,Quaternary International,"Coe, H. H. G., Ramos, Y. B. M., dos Santos, C. P., da Silva, A. L. C., Silvestre, C. P., Borrelli, N., & de Sousa, L. D. O. F. (2017). Dynamics of production and accumulation of phytolith assemblages in the Restinga of Maricá, Rio De Janeiro, Brazil. Quaternary International, 434, 58-69.",2017,Quaternary,Methodological - modern reference,Brazil,closed,Hybrid,None-not-oa,,One reference to generic ref or multiple references,No,Yes,ICPN 1.0,Yes,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,Only significant ones,None,Available online 14 November 2015. ICPN 1 is used with other nomenclatures,,,,,,
11/8/2021 6:03:44,Céline Kerfant,Flora,"Coe, H. H. G., Souza, R. C. C. L., Duarte, M. R., Ricardo, S. D. F., Machado, D. O. B. F., Macario, K. C. D., & Silva, E. P. (2017). Characterisation of phytoliths from the stratigraphic layers of the Sambaqui da Tarioba (Rio das Ostras, RJ, Brazil). Flora, 236, 1-8.",2017,Holocene,"Archaeological, Palaeoecology",Brazil,closed,Hybrid,None-not-oa,,Summary of method,No,No,ICPN 1.0,Yes,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,All,PAST,,,,,,,
