Timestamp,Data-collectors-name,Journal-name,Full-Reference-APA,Year (first published online),Period/Date (archaeology and palaeoecology or modern for other studies),Type-of-study,Geographic-location (use https://www.geonames.org/ for country name),oa_status,Journal-type,What-article-repository,Is it available in sign up repository?,Processing-method-communication,Counting-method-is-replicable,Instruments-used-described,Nomenclature-used,Have they used it fully?,Data-location,What-data-repository,Data-type ,Data-format,Data-availability-statement,Data-license,Pictures or photos included for identifications,Statistical-software-used,Other-comments,,,,,,
11/15/2021 5:34:41,Céline Kerfant,Nature Ecology & Evolution,"Hilbert, L., Neves, E. G., Pugliese, F., Whitney, B. S., Shock, M., Veasey, E., ... & Iriarte, J. (2017). Evidence for mid-Holocene rice domestication in the Americas. Nature Ecology & Evolution, 1(11), 1693-1698.",2017,Holocene,Archaeological,Brazil,green,Hybrid,University or Institution repository,,Summary of method,No,Yes,Other lab specific nomenclature to be added as we go,Not used,Data in supplementary file,None,Mean or ranges,.pdf,Data on request,Data not in repository,Only significant ones,R,"The aim of this research is only to identify  Rice phytolith, the authors used the phytolith reference collection of the Archaeobotany and Palaeoecology Laboratory in the Department of Archaeology of the University of Exeter.",,,,,,
11/15/2021 6:52:56,Céline Kerfant,Australian Journal of Botany,"Honaine, M. F., Borrelli, N. L., Osterrieth, M., & Del Rio, L. (2016). Leaf and culm silicification of Pampas grass (Cortaderia selloana) developed on different soils from Pampean region, Argentina. Australian Journal of Botany, 65(1), 1-10.",2016,Modern,Plant Physiology,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Not applicable,Yes,None specified/not clear,Not used,Data in text of article,None,Mean or ranges,Table in the text of the article,None,Data not in repository,Only significant ones,None,"This article aims to study the silification process of one plant Cortaderia
selloana on different soils",,,,,,
11/16/2021 3:35:02,Céline Kerfant,Frontiers in Ecology and Evolution,"Huisman, S. N., Raczka, M. F., & McMichael, C. N. (2018). Palm phytoliths of mid-elevation Andean forests. Frontiers in Ecology and Evolution, 6, 193.",2018,Modern,Methodological - modern reference,Andes,gold,Open,None-gold,,Summary of method,Not applicable,Yes,Other lab specific nomenclature to be added as we go,Not used,Data in text of article,University or Institution repository,Relative presence/percentages,Table in the text of the article,All data included,CC-BY,All,None,"This paper aims at studying palm tree phytoliths production in various ecosystems of the Andean regions which covers many countries/     Nomenclature used: Gaspar Morcote-Ríos & Rodrigo Bernal, 2001",,,,,,
11/16/2021 4:13:38,Céline Kerfant,Vegetation History and Archaeobotany,"Huisman, S. N., Bush, M. B., & McMichael, C. N. (2019). Four centuries of vegetation change in the mid-elevation Andean forests of Ecuador. Vegetation History and Archaeobotany, 28(6), 679-689.",2019,Holocene,Palaeoecology,Ecuador,hybrid,Hybrid,Publisher/University or Institution repository,,Summary of method,No,Yes,Other lab specific nomenclature to be added as we go,Not used,Data in text of article,None,Relative presence/percentages,No data table,None,CC-BY,None,"C2, R","Little Ice Age is the term used by the authors to qualify the studied period./ The nomenclatures used are Gaspar Morcote-Ríos & Rodrigo Bernal, 2001 and Pierno, 2006",,,,,,
11/16/2021 5:40:15,Céline Kerfant,Quaternary Science Reviews,"Iriarte, J., Elliott, S., Maezumi, S. Y., Alves, D., Gonda, R., Robinson, M., ... & Handley, J. (2020). The origins of Amazonian landscapes: Plant cultivation, domestication and the spread of food production in tropical South America. Quaternary Science Reviews, 248, 106582.",2020,Holocene,Archaeological,"Bolivia, Brazil",gold,Hybrid,None-gold,,One reference to specific protocol,No,Yes,Other lab specific nomenclature to be added as we go,Not used,Data in supplementary file,None,Relative presence/percentages,.doc,None,No license,None,R,"This article reviews 23 anthrosol profiles and various Amazonian crop diversity centres  from ten sites across SW, Central and E Amazonia (Bolivia, Brazil)./ The procedure is  the method of Lombardo et al. (2016)/ Nomenclatures: Dickau et al., 2013; Piperno, 2006; Watling, Iriarte, 2013 and the reference collection of the Archaeobotany Laboratory at the University of Exeter.",,,,,,
11/16/2021 8:43:30,Céline Kerfant,Review of Palaeobotany and Palynology,"Lombardo, U., Ruiz-Pérez, J., & Madella, M. (2016). Sonication improves the efficiency, efficacy and safety of phytolith extraction. Review of Palaeobotany and Palynology, 235, 1-5.",2016,Modern,Methodological - extraction method,Bolivia,bronze,Hybrid,Publisher,,Summary of method,Not applicable,Yes,None specified/not clear,Not used,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,None,None,,,,,,,
11/18/2021 4:42:22,Céline Kerfant,Global and Planetary Change,"Lombardo, U., Ruiz-Pérez, J., Rodrigues, L., Mestrot, A., Mayle, F., Madella, M., ... & Veit, H. (2019). Holocene land cover change in south-western Amazonia inferred from paleoflood archives. Global and planetary change, 174, 105-114.",2019,Holocene,Palaeoecology,Bolivia,green,Hybrid,University or Institution repository,,One reference to specific protocol,Yes,Yes,ICPN 1.0,No,Data in repository with DOI,Mendeley Data,Raw counts,.xslx,Dataset link to repository with DOI,CC-BY,None,None,,,,,,,
11/18/2021 5:27:00,Céline Kerfant,Nature,"Lombardo, U., Iriarte, J., Hilbert, L., Ruiz-Pérez, J., Capriles, J. M., & Veit, H. (2020). Early Holocene crop cultivation and landscape modification in Amazonia. Nature, 581(7807), 190-193.",2020,Holocene,Archaeological,Bolivia,green,Hybrid,Europe PubMed Central,,One reference to specific protocol,No,Yes,Other lab specific nomenclature to be added as we go,Not used,Data in supplementary file,None,Unclear what is presented,.xslx,All data included,Data not in repository,Only significant ones,None,"The nomenclatures used are The phytolith reference collection of the Archaeobotany and Palaeoecology Laboratory (Department of Archaeology, University of Exeter, Piperno 2006 and 2009, Iriarte, 2003, Watling et al.2016 and Dickau et al. 2013. The excel spreadsheet has no labels to say what the numbers are - could be absolute counts or percentages?",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
